AVATAR_COLOR,BILLING_ACCOUNT_ID,CREATED_AT,EMAIL,FIRST_NAME,ID,INVITED_BY,IS_DEMO_BOOKED,IS_INVITE_FLOW,IS_MIC_AVAILABLE,LAST_NAME,MARKETING_COMMUNICATION,MOBILE,ROLE,SIGNUP_TYPE,STATUS,STEPS,TERMS_AND_CONDITION,TRAINING_PERMISSION_VIDEO,UID,UPDATED_AT,UUID,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
#46685E,"101,338","September 9, 2025, 3:16 PM",hako.mufike@luminexworks.ai,Hako,102954,,FALSE,FALSE,FALSE,Mufike,TRUE,,developer,google,ready,,TRUE,,CQY2Xc1PAlY2xc7UrGGOxylHbpi2,"September 9, 2025, 3:16 PM",da375d53-a5e9-40db-a051-dee75ff2cada,"September 9, 2025, 4:21 PM","September 9, 2025, 4:21 PM","1,757,460,072,555,200,000","1,756,344,068,653"
#564B84,"101,272","September 9, 2025, 7:38 AM",nozi.quxylu@acme.ai,Nozi,102888,,FALSE,FALSE,FALSE,Quxylu,TRUE,,developer,google,ready,,TRUE,,XGeI9ZmV5gWTVs8anLCfOHlzjkl1,"September 9, 2025, 7:38 AM",e86f4f25-8862-466c-90f4-3dbc9e16c831,"September 9, 2025, 8:24 AM","September 9, 2025, 8:21 AM","1,757,431,271,072,760,000","1,756,344,068,653"
#69760E,"101,264","September 9, 2025, 7:01 AM",omar.bibu@hooliventures.dev,Omar,102880,,FALSE,FALSE,FALSE,Bibu,TRUE,,developer,google,ready,,TRUE,,qtQEEhPuF1S8U11sK1Wfsbvbfya2,"September 9, 2025, 7:01 AM",318ae5d4-a5a9-495e-9120-70454d5232fa,"September 9, 2025, 7:22 AM","September 9, 2025, 7:21 AM","1,757,427,670,331,830,000","1,756,344,068,653"
#A373F1,"101,267","September 9, 2025, 7:12 AM",vujawa.fulasi@gmail.com,Vujawa,102883,,FALSE,FALSE,FALSE,Fulasi,TRUE,,developer,google,ready,,TRUE,,PqQL89HiugcDl49yVHQJzgYPnRh1,"September 9, 2025, 7:12 AM",566df8be-935f-4e60-9ed1-f2cb2934bc30,"September 9, 2025, 7:22 AM","September 9, 2025, 7:21 AM","1,757,427,670,331,890,000","1,756,344,068,653"
#32E1CF,"101,191","September 8, 2025, 11:00 PM",vedose.zaqu@gmail.com,Vedose,102807,,FALSE,FALSE,FALSE,Zaqu,TRUE,,developer,email,ready,,TRUE,,p9z02VwuCwMn0EHSoVeLR0tg2Sp1,"September 8, 2025, 11:00 PM",5d0bcdbe-1cfa-4eb9-9fea-196324a60172,"September 9, 2025, 12:29 AM","September 9, 2025, 12:21 AM","1,757,402,471,069,410,000","1,756,344,068,653"
#FC2B02,"101,197","September 8, 2025, 11:54 PM",neti.bygu@gmail.com,Neti,102813,,FALSE,FALSE,FALSE,Bygu,TRUE,,developer,google,ready,,TRUE,,uZUlhbekCmTGoFXNnR3lg0KNHX02,"September 8, 2025, 11:54 PM",eeeb43b7-e431-4c42-87b1-7aadcbbe000a,"September 9, 2025, 12:29 AM","September 9, 2025, 12:21 AM","1,757,402,471,069,530,000","1,756,344,068,653"
#471092,"101,154","September 8, 2025, 5:59 PM",bapi.qazy@gmail.com,Bapi,102770,,FALSE,FALSE,FALSE,Qazy,TRUE,,developer,google,ready,,TRUE,,oqp3lCNnFVNmpaREaERC9FbFgeG3,"September 8, 2025, 5:59 PM",46849e75-3e95-4923-9d5d-19ffecc64675,"September 8, 2025, 6:25 PM","September 8, 2025, 6:21 PM","1,757,380,870,013,350,000","1,756,344,068,653"
#733C35,"101,147","September 8, 2025, 4:51 PM",ruwiwy.zuca@oscorpgroup.net,Ruwiwy,102763,,FALSE,FALSE,FALSE,Zuca,TRUE,,developer,google,ready,,TRUE,,1IQKRTZ1JHT7LBtoafjFyZuTKbv1,"September 8, 2025, 4:51 PM",eaa64ff0-0209-4810-a894-c75742a1ad4c,"September 8, 2025, 5:31 PM","September 8, 2025, 5:21 PM","1,757,377,271,619,930,000","1,756,344,068,653"
#A807EE,"101,140","September 8, 2025, 2:03 PM",naqe.vevo@gmail.com,Naqe,102756,,FALSE,FALSE,FALSE,Vevo,TRUE,,developer,google,ready,,TRUE,,BLsyL9jW8oQERm9GscEBKsbWlrH3,"September 8, 2025, 2:03 PM",efbb9710-3067-4d17-bb14-f31e7e0b8e24,"September 8, 2025, 2:23 PM","September 8, 2025, 2:21 PM","1,757,366,470,514,050,000","1,756,344,068,653"
#71AF1A,"101,130","September 8, 2025, 12:00 PM",wejyja.pynuqe@gmail.com,Wejyja,102746,,FALSE,FALSE,FALSE,Pynuqe,TRUE,,developer,google,ready,,TRUE,,xJ0eaS0qmbf9vkcN52XyOoruzCo2,"September 8, 2025, 12:00 PM",7a15ca91-713f-4c6f-b0a2-018bacb608e1,"September 8, 2025, 12:29 PM","September 8, 2025, 12:21 PM","1,757,359,270,275,840,000","1,756,344,068,653"
#6800AC,"101,046","September 8, 2025, 1:45 AM",gubepo.keqovu@bluepeaksolutions.com,Gubepo,102662,,FALSE,FALSE,FALSE,Keqovu,TRUE,,developer,email,ready,,TRUE,,H5lNUkUq6bh764RhGzBngbPBL502,"September 8, 2025, 1:45 AM",6dcf650f-8bc8-463b-893a-d9c85cdeeac7,"September 8, 2025, 2:21 AM","September 8, 2025, 2:21 AM","1,757,323,270,902,460,000","1,756,344,068,653"
#9D507A,"101,040","September 8, 2025, 12:29 AM",ygeqe.lufove@waynecorp.tech,Ygeqe,102656,,FALSE,FALSE,FALSE,Lufove,TRUE,,developer,email,ready,,TRUE,,yteYqfbimag1XPDOYNZ4EOWtICk1,"September 8, 2025, 12:29 AM",3840fe8f-6835-4775-a64b-4d7f6687fdd2,"September 8, 2025, 1:32 AM","September 8, 2025, 1:21 AM","1,757,319,672,075,140,000","1,756,344,068,653"
#D2E3B5,"100,954","September 7, 2025, 12:32 PM",xageso.wigyro@gmail.com,Xageso,102570,,FALSE,FALSE,FALSE,Wigyro,TRUE,,developer,google,ready,,TRUE,,5lZVHWD9tYfXdTLoEWKtOtWbOMM2,"September 7, 2025, 12:32 PM",c7ec2b57-3bbb-4104-805f-62eb9d5f009d,"September 7, 2025, 1:29 PM","September 7, 2025, 1:21 PM","1,757,276,472,352,520,000","1,756,344,068,653"
#2760C6,"100,945","September 7, 2025, 11:22 AM",ihypa.xelu@vectorsolutions.io,Ihypa,102561,,FALSE,FALSE,FALSE,Xelu,TRUE,,developer,google,ready,,TRUE,,g6jMizzVf6bpjhTEfk4zHJLJcbF2,"September 7, 2025, 11:22 AM",c48c1a54-c514-4606-8456-01f92d86b135,"September 7, 2025, 12:29 PM","September 7, 2025, 12:21 PM","1,757,272,870,023,470,000","1,756,344,068,653"
#EC0FB7,"100,942","September 7, 2025, 11:00 AM",gitawo.futiy@morleyworks.io,Gitawo,102558,,FALSE,FALSE,FALSE,Futiy,TRUE,,developer,email,ready,,TRUE,,57AljYsIOaVns5rTIuO1vwhTqr83,"September 7, 2025, 11:00 AM",31b4e585-dc7b-49cf-b895-64471a3bad67,"September 7, 2025, 11:29 AM","September 7, 2025, 11:21 AM","1,757,269,270,081,930,000","1,756,344,068,653"
#22A39B,"100,895","September 7, 2025, 1:15 AM",lyci.dexi@gmail.com,Lyci,102511,,FALSE,FALSE,FALSE,Dexi,TRUE,,developer,google,ready,,TRUE,,ei9FCpxhJagJGvgXBRWtZd4Rv3x1,"September 7, 2025, 1:15 AM",60dea771-135d-408b-b545-fb8700e6d995,"September 7, 2025, 2:32 AM","September 7, 2025, 2:21 AM","1,757,236,871,718,590,000","1,756,344,068,653"
#4FB65F,"100,860","September 6, 2025, 6:16 PM",howa.pore@gmail.com,Howa,102476,,FALSE,FALSE,FALSE,Pore,TRUE,,developer,google,ready,,TRUE,,knAj9Tfybqgj9ycLQOniJkLGQqJ2,"September 6, 2025, 6:16 PM",1e5d9428-64b0-4692-bfdd-ab28898283d4,"September 6, 2025, 7:31 PM","September 6, 2025, 7:21 PM","1,757,211,669,892,050,000","1,756,344,068,653"
#74AA73,"100,840","September 6, 2025, 2:36 PM",waziga.hyby@solsticelabs.tech,Waziga,102456,,FALSE,FALSE,FALSE,Hyby,TRUE,,developer,email,ready,,TRUE,,KrAbfcB3e3NT2ip1aJ8ip1uj6OR2,"September 6, 2025, 2:36 PM",1fbdf362-0551-4bba-a1cf-54aff4a9a98f,"September 6, 2025, 3:26 PM","September 6, 2025, 3:21 PM","1,757,197,271,728,320,000","1,756,344,068,653"
#7F3C25,"100,792","September 6, 2025, 6:36 AM",hita.kyraqy@gmail.com,Hita,102408,,FALSE,FALSE,FALSE,Kyraqy,TRUE,,developer,google,ready,,TRUE,,dvJXNYXAo4eUFbh32ugv4CTc51p2,"September 6, 2025, 6:36 AM",815200db-cded-4466-9091-24fa7f5c20d2,"September 6, 2025, 7:30 AM","September 6, 2025, 7:21 AM","1,757,168,472,061,050,000","1,756,344,068,653"
